asset_id,platform,ts_utc,price_gross
arda-guler-fantasy-fc,ps,2026-03-27T00:16:00,869000
arda-guler-fantasy-fc,ps,2026-03-27T02:00:00,899000
arda-guler-fantasy-fc,ps,2026-03-27T03:08:00,903000
arda-guler-fantasy-fc,ps,2026-03-27T03:11:00,898000
arda-guler-fantasy-fc,ps,2026-03-27T03:22:00,804000
arda-guler-fantasy-fc,ps,2026-03-27T07:19:00,863000
arda-guler-fantasy-fc,ps,2026-03-27T07:55:00,871000
arda-guler-fantasy-fc,ps,2026-03-27T09:50:00,900000
arda-guler-fantasy-fc,ps,2026-03-27T10:39:00,880000
arda-guler-fantasy-fc,ps,2026-03-27T12:45:00,900000
arda-guler-fantasy-fc,ps,2026-03-27T12:47:00,831000
arda-guler-fantasy-fc,ps,2026-03-27T13:26:00,850000
arda-guler-fantasy-fc,ps,2026-03-27T13:59:00,837000
arda-guler-fantasy-fc,ps,2026-03-27T14:29:00,709000
arda-guler-fantasy-fc,ps,2026-03-27T15:18:00,800000
arda-guler-fantasy-fc,ps,2026-03-27T15:32:00,726000
arda-guler-fantasy-fc,ps,2026-03-27T16:00:00,804000
arda-guler-fantasy-fc,ps,2026-03-27T17:14:00,834000
arda-guler-fantasy-fc,ps,2026-03-27T17:53:00,869000
arda-guler-fantasy-fc,ps,2026-03-27T18:12:00,800000
arda-guler-fantasy-fc,ps,2026-03-27T19:54:00,895000
arda-guler-fantasy-fc,ps,2026-03-27T19:58:00,850000
arda-guler-fantasy-fc,ps,2026-03-27T20:01:00,840000
arda-guler-fantasy-fc,ps,2026-03-27T21:40:00,899000
arda-guler-fantasy-fc,ps,2026-03-27T22:03:00,891000
arda-guler-fantasy-fc,ps,2026-03-27T23:50:00,830000
arda-guler-fantasy-fc,ps,2026-03-28T00:47:00,865000
arda-guler-fantasy-fc,ps,2026-03-28T01:35:00,870000
arda-guler-fantasy-fc,ps,2026-03-28T03:37:00,840000
arda-guler-fantasy-fc,ps,2026-03-28T03:52:00,805000
arda-guler-fantasy-fc,ps,2026-03-28T06:06:00,820000
arda-guler-fantasy-fc,ps,2026-03-28T10:39:00,840000
arda-guler-fantasy-fc,ps,2026-03-28T10:58:00,828000
arda-guler-fantasy-fc,ps,2026-03-28T11:21:00,784000
arda-guler-fantasy-fc,ps,2026-03-28T11:23:00,784000
arda-guler-fantasy-fc,ps,2026-03-28T11:49:00,840000
arda-guler-fantasy-fc,ps,2026-03-28T12:18:00,790000
arda-guler-fantasy-fc,ps,2026-03-28T12:34:00,839000
arda-guler-fantasy-fc,ps,2026-03-28T12:34:00,830000
arda-guler-fantasy-fc,ps,2026-03-28T13:16:00,750000
arda-guler-fantasy-fc,ps,2026-03-28T13:43:00,799000
arda-guler-fantasy-fc,ps,2026-03-28T14:17:00,722000
arda-guler-fantasy-fc,ps,2026-03-28T14:46:00,750000
arda-guler-fantasy-fc,ps,2026-03-28T15:15:00,768000
arda-guler-fantasy-fc,ps,2026-03-28T15:23:00,759000
arda-guler-fantasy-fc,ps,2026-03-28T15:41:00,751000
arda-guler-fantasy-fc,ps,2026-03-28T15:46:00,738000
arda-guler-fantasy-fc,ps,2026-03-28T16:45:00,850000
arda-guler-fantasy-fc,ps,2026-03-28T16:47:00,860000
arda-guler-fantasy-fc,ps,2026-03-28T16:52:00,845000
arda-guler-fantasy-fc,ps,2026-03-28T18:38:00,885000
arda-guler-fantasy-fc,ps,2026-03-28T19:23:00,815000
arda-guler-fantasy-fc,ps,2026-03-28T19:35:00,744000
arda-guler-fantasy-fc,ps,2026-03-28T19:37:00,810000
arda-guler-fantasy-fc,ps,2026-03-28T20:09:00,756000
arda-guler-fantasy-fc,ps,2026-03-28T20:23:00,856000
arda-guler-fantasy-fc,ps,2026-03-28T20:34:00,820000
arda-guler-fantasy-fc,ps,2026-03-28T21:08:00,888000
arda-guler-fantasy-fc,ps,2026-03-28T21:27:00,889000
arda-guler-fantasy-fc,ps,2026-03-28T21:27:00,884000
arda-guler-fantasy-fc,ps,2026-03-28T21:31:00,900000
arda-guler-fantasy-fc,ps,2026-03-29T00:35:00,900000
arda-guler-fantasy-fc,ps,2026-03-29T02:00:00,901000
arda-guler-fantasy-fc,ps,2026-03-29T04:56:00,898000
arda-guler-fantasy-fc,ps,2026-03-29T05:53:00,905000
arda-guler-fantasy-fc,ps,2026-03-29T10:40:00,895000
arda-guler-fantasy-fc,ps,2026-03-29T11:14:00,960000
arda-guler-fantasy-fc,ps,2026-03-29T12:13:00,877000
arda-guler-fantasy-fc,ps,2026-03-29T12:36:00,950000
arda-guler-fantasy-fc,ps,2026-03-29T12:49:00,850000
arda-guler-fantasy-fc,ps,2026-03-29T12:59:00,810000
arda-guler-fantasy-fc,ps,2026-03-29T13:13:00,800000
arda-guler-fantasy-fc,ps,2026-03-29T16:32:00,890000
arda-guler-fantasy-fc,ps,2026-03-29T17:56:00,796000
arda-guler-fantasy-fc,ps,2026-03-29T17:58:00,793000
arda-guler-fantasy-fc,ps,2026-03-29T17:59:00,790000
arda-guler-fantasy-fc,ps,2026-03-29T18:01:00,890000
arda-guler-fantasy-fc,ps,2026-03-29T18:36:00,870000
arda-guler-fantasy-fc,ps,2026-03-29T19:06:00,860000
arda-guler-fantasy-fc,ps,2026-03-29T20:22:00,859000
arda-guler-fantasy-fc,ps,2026-03-29T20:25:00,855000
arda-guler-fantasy-fc,ps,2026-03-29T21:20:00,844000
arda-guler-fantasy-fc,ps,2026-03-29T22:15:00,918000
arda-guler-fantasy-fc,ps,2026-03-29T22:28:00,855000
arda-guler-fantasy-fc,ps,2026-03-29T22:42:00,801000
arda-guler-fantasy-fc,ps,2026-03-30T00:02:00,850000
arda-guler-fantasy-fc,ps,2026-03-30T00:02:00,867000
arda-guler-fantasy-fc,ps,2026-03-30T03:06:00,810000
arda-guler-fantasy-fc,ps,2026-03-30T04:31:00,869000
arda-guler-fantasy-fc,ps,2026-03-30T06:10:00,860000
arda-guler-fantasy-fc,ps,2026-03-30T09:05:00,870000
arda-guler-fantasy-fc,ps,2026-03-30T09:07:00,850000
arda-guler-fantasy-fc,ps,2026-03-30T09:57:00,860000
arda-guler-fantasy-fc,ps,2026-03-30T10:03:00,899000
arda-guler-fantasy-fc,ps,2026-03-30T14:17:00,1035000
arda-guler-fantasy-fc,ps,2026-03-30T15:24:00,830000
arda-guler-fantasy-fc,ps,2026-03-30T16:51:00,799000
arda-guler-fantasy-fc,ps,2026-03-30T17:08:00,781000
arda-guler-fantasy-fc,ps,2026-03-30T19:17:00,769000
arda-guler-fantasy-fc,ps,2026-03-30T20:22:00,790000
arda-guler-fantasy-fc,ps,2026-03-30T20:26:00,785000
arda-guler-fantasy-fc,ps,2026-03-30T21:15:00,890000
arda-guler-fantasy-fc,ps,2026-03-30T21:41:00,870000
arda-guler-fantasy-fc,ps,2026-03-30T21:56:00,850000
arda-guler-fantasy-fc,ps,2026-03-30T23:32:00,862000
arda-guler-fantasy-fc,ps,2026-03-31T02:49:00,801000
arda-guler-fantasy-fc,ps,2026-03-31T03:04:00,835000
arda-guler-fantasy-fc,ps,2026-03-31T03:07:00,832000
arda-guler-fantasy-fc,ps,2026-03-31T04:36:00,865000
arda-guler-fantasy-fc,ps,2026-03-31T05:22:00,795000
arda-guler-fantasy-fc,ps,2026-03-31T05:47:00,875000
arda-guler-fantasy-fc,ps,2026-03-31T06:04:00,870000
arda-guler-fantasy-fc,ps,2026-03-31T07:23:00,850000
arda-guler-fantasy-fc,ps,2026-03-31T07:28:00,849000
arda-guler-fantasy-fc,ps,2026-03-31T08:09:00,800000
arda-guler-fantasy-fc,ps,2026-03-31T08:48:00,880000
arda-guler-fantasy-fc,ps,2026-03-31T11:36:00,815000
arda-guler-fantasy-fc,ps,2026-03-31T12:27:00,800000
arda-guler-fantasy-fc,ps,2026-03-31T12:43:00,830000
